ID,Season,City,Date,Team 1,Team 2,Toss Winner,Toss decision,Result,dl_applied,Winner,win_by_runs,win_by_wickets,
28,3,Sharjah,15-03-2018,Islamabad United,Quetta Gladiators,Quetta Gladiators,Bat,normal,0,Islamabad United,0,6,
29,3,Sharjah,16-03-2018,Lahore Qalander,Peshawar Zalmi,Lahore Qalander,Bat,normal,0,Peshawar Zalmi,0,7,
30,3,Sharjah,16-03-2018,Karachi Kings,Islamabad United,Karachi Kings,Field,normal,0,Karachi Kings,0,7,
31,3,Dubai,18-03-2018,Karachi Kings,Islamabad United,Karachi Kings,Bat,normal,0,Islamabad United,0,8,
32,3,Lahore,20-03-2018,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,Field,normal,0,Peshawar Zalmi,1,0,
33,3,Lahore,21-03-2018,Peshawar Zalmi,Karachi Kings,Karachi Kings,Field,normal,0,Peshawar Zalmi,13,0,
34,3,Karachi,25-03-2018,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,Bat,normal,0,Islamabad United,0,3,
35,4,Dubai,14-02-2019,Lahore Qalander,Islamabad United,Islamabad United,Field,normal,0,Islamabad United,0,5,
36,4,Dubai,15-02-2019,Karachi Kings,Multan Sultan,Karachi Kings,Bat,normal,0,Karachi Kings,7,0,
37,4,Dubai,15-02-2019,Quetta Gladiators,Peshawar Zalmi,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,6,
38,4,Dubai,16-02-2019,Multan Sultan,Islamabad United,Multan Sultan,Field,normal,0,Multan Sultan,0,5,
39,4,Dubai,16-02-2019,Karachi Kings,Lahore Qalander,Karachi Kings,Field,normal,0,Lahore Qalander,22,0,
40,4,Dubai,17-02-2019,Quetta Gladiators,Islamabad United,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,7,
41,4,Dubai,17-02-2019,Lahore Qalander,Peshawar Zalmi,Peshawar Zalmi,Field,normal,0,Peshawar Zalmi,0,7,
42,4,Sharjah,20-02-2019,Multan Sultan,Quetta Gladiators,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,8,
43,4,Sharjah,21-02-2019,Karachi Kings,Peshawar Zalmi,Karachi Kings,Field,normal,0,Peshawar Zalmi,44,0,
44,4,Sharjah,22-02-2019,Lahore Qalander,Multan Sultan,Lahore Qalander,Field,normal,0,Lahore Qalander,0,6,
45,4,Sharjah,22-02-2019,Peshawar Zalmi,Islamabad United,Peshawar Zalmi,Field,normal,0,Islamabad United,12,0,
46,4,Sharjah,23-02-2019,Lahore Qalander,Quetta Gladiators,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,3,
47,4,Sharjah,23-02-2019,Karachi Kings,Islamabad United,Islamabad United,Field,normal,0,Islamabad United,0,7,
48,4,Sharjah,24-02-2019,Multan Sultan,Peshawar Zalmi,Peshawar Zalmi,Field,normal,0,Peshawar Zalmi,0,5,
49,4,Sharjah,24-02-2019,Karachi Kings,Quetta Gladiators,Karachi Kings,Field,normal,0,Karachi Kings,0,6,
50,4,Dubai,26-02-2019,Islamabad United,Multan Sultan,Multan Sultan,Field,normal,0,Multan Sultan,0,6,
51,4,Dubai,27-02-2019,Quetta Gladiators,Lahore Qalander,Lahore Qalander,Field,normal,0,Lahore Qalander,0,8,
52,4,Dubai,27-02-2019,Islamabad United,Karachi Kings,Islamabad United,Field,normal,0,Islamabad United,0,5,
53,4,Dubai,28-02-2019,Peshawar Zalmi,Multan Sultan,Peshawar Zalmi,Field,normal,0,Peshawar Zalmi,0,7,
54,4,Dubai,28-02-2019,Lahore Qalander,Karachi Kings,Karachi Kings,Field,normal,0,Karachi Kings,0,5,
55,4,Dubai,1/3/2019,Islamabad United,Peshawar Zalmi,Peshawar Zalmi,Field,normal,0,Peshawar Zalmi,0,4,
56,4,Dubai,1/3/2019,Quetta Gladiators,Multan Sultan,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,6,
57,4,Abu Dhabi,4/3/2019,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,8,
58,4,Abu Dhabi,4/3/2019,Multan Sultan,Karachi Kings,Karachi Kings,Field,normal,0,Karachi Kings,0,5,
59,4,Abu Dhabi,5/3/2019,Peshawar Zalmi,Lahore Qalander,Peshawar Zalmi,Field,normal,0,Peshawar Zalmi,0,4,
60,4,Abu Dhabi,5/3/2019,Islamabad United,Quetta Gladiators,Islamabad United,Field,normal,0,Quetta Gladiators,43,0,
61,4,Karachi,7/3/2019,Islamabad United,Lahore Qalander,Lahore Qalander,Field,normal,0,Islamabad United,49,0,
62,4,Karachi,9/3/2019,Quetta Gladiators,Karachi Kings,Quetta Gladiators,Field,normal,0,Karachi Kings,1,0,
63,4,Karachi,10/3/2019,Multan Sultan,Lahore Qalander,Multan Sultan,Field,normal,0,Multan Sultan,0,7,
64,4,Karachi,11/3/2019,Peshawar Zalmi,Karachi Kings,Karachi Kings,Field,normal,0,Peshawar Zalmi,61,0,
65,4,Karachi,13-03-2019,Quetta Gladiators,Peshawar Zalmi,Peshawar Zalmi,Field,normal,0,Quetta Gladiators,10,0,
66,4,Karachi,14-03-2019,Karachi Kings,Islamabad United,Karachi Kings,Bat,normal,0,Islamabad United,0,4,
67,4,Karachi,15-03-2019,Islamabad United,Peshawar Zalmi,Islamabad United,Field,normal,0,Peshawar Zalmi,48,0,
68,4,Karachi,17-03-2019,Peshawar Zalmi,Quetta Gladiators,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,8,
69,5,Karachi,20-02-2020,Islamabad United,Quetta Gladiators,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,3,
70,5,Karachi,21-02-2020,Peshawar Zalmi,Karachi Kings,Peshawar Zalmi,Field,normal,0,Karachi Kings,10,0,
71,5,Lahore,21-02-2020,Multan Sultan,Lahore Qalander,Multan Sultan,Field,normal,0,Multan Sultan,0,5,
72,5,Karachi,22-02-2020,Peshawar Zalmi,Quetta Gladiators,Peshawar Zalmi,Field,normal,0,Peshawar Zalmi,0,6,
73,5,Lahore,22-02-2020,Multan Sultan,Islamabad United,Islamabad United,Field,normal,0,Islamabad United,0,8,
74,5,Karachi,23-02-2020,Quetta Gladiators,Karachi Kings,Karachi Kings,Bat,normal,0,Quetta Gladiators,0,5,
75,5,Lahore,23-02-2020,Islamabad United,Lahore Qalander,Islamabad United,Field,normal,0,Islamabad United,0,1,
76,5,Multan,26-02-2020,Peshawar Zalmi,Multan Sultan,Multan Sultan,Field,normal,0,Multan Sultan,0,6,
77,5,Rawalpindi,27-02-2020,Quetta Gladiators,Islamabad United,Quetta Gladiators,Field,normal,0,Quetta Gladiators,0,5,
78,5,Multan,28-02-2020,Karachi Kings,Multan Sultan,Karachi Kings,Field,normal,0,Multan Sultan,52,0,
79,5,Rawalpindi,28-02-2020,Lahore Qalander,Peshawar Zalmi,Lahore Qalander,Field,normal,0,Peshawar Zalmi,16,0,
80,5,Multan,29-02-2020,Quetta Gladiators,Multan Sultan,Multan Sultan,Bat,normal,0,Multan Sultan,30,0,
